q3_storeroomReplenishRate,Location,Date,Lat,Alt,Lng,SurveyID,TripID,TotalCount,FemaleCount,MaleCount,Speed,Username,q0a_shopID,q0b_surveyConsent,q1_workerCount,q2_storeroomSize,q4_deliveryCount,q5_timeCheck,q6_deliverOrPickup,q7_DELmanufactOrExclDist,q8_DELsupplierReplenishRate,q9_DELlastReplenish,q10a_DELlastReplenishSize,q11_DELtimeOfArrival,q12_DELgoodsArrivalTime1,q13_DELerpPrice,q14_PUPmanufactOrExclDist,q15_PUPsupplierReplenishRate,q16_PUPlastReplenish,q17_PUPlastReplenishSize,q18_PUPvehicleType,q19_PUPerpPrice,q16_1a_companyDelivery1,q16_1b_companyDelivery1,q16_2a_companyDelivery1,q16_2b_companyDelivery1,q16_3a_companyDelivery1,q16_3b_companyDelivery1,q16_4a_companyDelivery1,q16_4b_companyDelivery1,q16_5a_companyDelivery1,q16_5b_companyDelivery1,q16_6a_companyDelivery1,q16_6b_companyDelivery1,q16_7a_companyDelivery1,q16_7b_companyDelivery1,q16_8a_companyDelivery1,q16_8b_companyDelivery1,q16_9a_companyDelivery1,q16_9b_companyDelivery1,q16_10a_companyDelivery1,q16_10b_companyDelivery1,eq1_establishmentName,eq2_postCode,eq3_storeLocation,eq4_visibleArea,eq5_retailChain,eq6a_weekdayHoursOpen,eq6b_establishmentIndustry,eq7_weekdayHoursClose,eq8a_relativeAmountSales,eq8b_relativeAmountSales,eq8c_relativeAmountSales,eq8d_relativeAmountSales,eq8e_relativeAmountSales,eq8f_relativeAmountSales,eq8g_relativeAmountSales,eq8h_relativeAmountSales,eq8i_relativeAmountSales,q20_1a_companyDelivery1,q20_1b_companyDelivery1,q20_2a_companyDelivery1,q20_2b_companyDelivery1,q20_3a_companyDelivery1,q20_3b_companyDelivery1,q20_4a_companyDelivery1,q20_4b_companyDelivery1,q20_5a_companyDelivery1,q20_5b_companyDelivery1,q20_6a_companyDelivery1,q20_6b_companyDelivery1,q20_7a_companyDelivery1,q20_7b_companyDelivery1,q20_8a_companyDelivery1,q20_8b_companyDelivery1,q20_9a_companyDelivery1,q20_9b_companyDelivery1,q20_10a_companyDelivery1,q20_10b_companyDelivery1,** q5_timeCheck,q20,eq6b_weekdayHoursClose,eq7_establishmentIndustry
14,"<Point><coordinates>103.8557124,1.3094497,0.0</coordinates></Point>",2014-07-14 15:54:51,1.3094497,0.0,103.8557124,S4762228,,0,0,0,0.0,kimcuong030992@gmail.com,21601,Yes,15,Less than 10 m2,"1 (Sidebar, Mod1)","Odd (Sidebar, Mod1)",It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From our corporate warehouse/ office. 我们公司自己的货仓,Multiple times a day. 一天几次,"(Cooked, Prepared food,Frozen food (e.g. Frozen meat, cake),Fresh food (e.g. Vegetable, meat),Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",More than two 200x100x100m box,9:00AM to 11:00 AM,The other party. 出货的人决定。,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sakunthala restaurant,207667,Street/street houses,25 m2 - 50 m2,Yes,10,,,3 (Most),1 (Least),2 (Some),0 (None),,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Cafes, restaurants, bars and bakeries baked on site (5611, 56121, 1071)"
,"<Point><coordinates>103.8545541,1.3052759,0.0</coordinates></Point>",2014-07-14 16:56:22,1.3052759,0.0,103.8545541,S3510860,,0,0,0,0.0,hhhdasdl@gmail.com,3276,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"<Point><coordinates>103.8546094,1.3051891,0.0</coordinates></Point>",2014-07-14 10:36:42,1.3051891,0.0,103.8546094,S5212978,,0,0,0,0.0,haokaishi520@gmail.com,22048,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"<Point><coordinates>103.8531603,1.3060884,0.0</coordinates></Point>",2014-07-14 11:35:56,1.3060884,0.0,103.8531603,S5873146,,0,0,0,0.0,haokaishi520@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Cooked, Prepared food,Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",,,,,,,,,,,,,,,,,,,,,,,
,"<Point><coordinates>103.8550682,1.3070535,34.05835390251537</coordinates></Point>",2014-07-14 12:29:34,1.3070535,34.05835390251537,103.8550682,S7971430,T5478083,0,0,0,0.0,kimcuong030992@gmail.com,13016,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"<Point><coordinates>103.8508464,1.3053549,0.0</coordinates></Point>",2014-07-14 12:50:18,1.3053549,0.0,103.8508464,S9881459,,0,0,0,0.0,hhhdasdl@gmail.com,99995,Yes,20,Less than 10 m2,2,"Odd (Sidebar, Mod1)",It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From a wholesaler (sell mix of different brands and products to meet niche needs of the store). 批发商 (批发多种不同品牌与货物的公司),Multiple days a week. 一个星期几次,"(Fresh food (e.g. Vegetable, meat))",200x100x100m,11:00PM to 1:00 PM,The other party. 出货的人决定。,Not in the ERP affected zone. 不在ERP区内,,,,,,,,,,,,,,,,,,,,,,,,,,,meeras curry restaurant,207313,Street/street houses,25 m2 - 50 m2,No,0600,,,0 (None),3 (Most),0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),,,,,,,,,,,,,,,,,,,,,,,0000,"Cafes, restaurants, bars and bakeries baked on site (5611, 56121, 1071)"
,"<Point><coordinates>103.8533437,1.3089704,0.0</coordinates></Point>",2014-07-14 15:17:29,1.3089704,0.0,103.8533437,S6608023,,0,0,0,,yinjin26@gmail.com,12213,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"<Point><coordinates>103.8575247,1.3091295,0.0</coordinates></Point>",2014-07-14 16:02:38,1.3091295,0.0,103.8575247,S5900407,,0,0,0,,yinjin26@gmail.com,22699,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"<Point><coordinates>103.8511843,1.3055943,0.0</coordinates></Point>",2014-07-14 16:52:25,1.3055943,0.0,103.8511843,S0512351,,0,0,0,0.0,hhhdasdl@gmail.com,99989,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"<Point><coordinates>103.8528312,1.3072887,0.0</coordinates></Point>",2014-07-14 13:18:42,1.3072887,0.0,103.8528312,S2859593,,0,0,0,0.0,hhhdasdl@gmail.com,99993,Yes,4,Less than 10 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"<Point><coordinates>103.8523381,1.3086212,0.0</coordinates></Point>",2014-07-14 15:03:10,1.3086212,0.0,103.8523381,S5218932,,0,0,0,,yinjin26@gmail.com,799999,Yes,2,There is no storage space.,10,"Even (Sidebar, Mod2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Street/street houses,100 m2 – 200 m2,No,1400,,,1 (Least),3 (Most),3 (Most),1 (Least),1 (Least),0 (None),0 (None),0 (None),0 (None),"(Fresh food (e.g. Vegetable, meat))",Multiple times a day. 一天几次,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",Multiple times a day. 一天几次,"(Fresh food (e.g. Vegetable, meat))",Multiple days a week. 一个星期几次,"(Fresh food (e.g. Vegetable, meat))",Once every two weeks. 每两个星期一次,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",Once every two weeks. 每两个星期一次,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",Once a month. 一个月一次,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",Once a week. 一个星期一次,"(Fresh food (e.g. Vegetable, meat))",Once a week. 一个星期一次,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",Once every two weeks. 每两个星期一次,"(Dry/ Preserved food (e.g. Soda, canned food, snacks, sauce))",Once a month. 一个月一次,,,2300,"Grocery store mainly selling fresh products (e.g. a mix of vegetables, meat, fish, others)  (472)"
2,"<Point><coordinates>103.8542016,1.3101474,19.0</coordinates></Point>",2014-07-14 16:26:27,1.3101474,19.0,103.8542016,S4220310,,0,0,0,0.0,saraheleanormao@gmail.com,12536,Yes,5,There is no storage space.,10,"Odd (Sidebar, Mod1)",It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From the manufacturer or exclusive distributor. 工厂或者专属供应商 (专卖一种品牌的产品),Once a week. 一个星期一次,"(Clothes, shoes, bags)",200x100x100m,3:00PM to 5:00 PM,The other party. 出货的人决定。,Not in the ERP affected zone. 不在ERP区内,,,,,,,,,,,,,,,,,,,,,,,,,,,M&M Fashion Wear,218093,Street/street houses,25 m2 - 50 m2,No,0930,,,0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),3 (Most),0 (None),0 (None),,,,,,,,,,,,,,,,,,,,,,,2300,"Apparel stores, selling clothes, bags and shoes. May sell accessories (4771)"
2,"<Point><coordinates>103.8513672,1.3051587,0.0</coordinates></Point>",2014-07-14 17:14:10,1.3051587,0.0,103.8513672,S1903084,,0,0,0,0.0,saraheleanormao@gmail.com,8321,Yes,1,Less than 10 m2,"1 (Sidebar, Mod1)",,It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From the manufacturer or exclusive distributor. 工厂或者专属供应商 (专卖一种品牌的产品),Multiple days a week. 一个星期几次,"(Clothes, shoes, bags)",50x50x50cm,1:00PM to 3:00 PM,The other party. 出货的人决定。,Not in the ERP affected zone. 不在ERP区内,,,,,,,,,,,,,,,,,,,,,,,,,,,Fesa,218227,Indoor/underground mall,25 m2 - 50 m2,No,1000,,,0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),3 (Most),0 (None),0 (None),,,,,,,,,,,,,,,,,,,,,,,2030,"Apparel stores, selling clothes, bags and shoes. May sell accessories (4771)"
10,"<Point><coordinates>103.8526068,1.3065459,0.0</coordinates></Point>",2014-07-14 11:53:38,1.3065459,0.0,103.8526068,S1603845,T5478083,0,0,0,0.011883545815944672,kimcuong030992@gmail.com,9579,Yes,50,25 m2 - 50 m2,10,"Odd (Sidebar, Mod1)",It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From a wholesaler (sell mix of different brands and products to meet niche needs of the store). 批发商 (批发多种不同品牌与货物的公司),Once a day. 一天一次,"(Fresh food (e.g. Vegetable, meat))",100x100x100m,9:00AM to 11:00 AM,We negotiate the delivery time together. 我们有商量最适当的送货时间。,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gokul Vegetarian restaurant and cafe,207478,Street/street houses,25 m2 - 50 m2,Yes,10.30,,,3 (Most),2 (Some),1 (Least),0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),,,,,,,,,,,,,,,,,,,,,,,22.30,"Cafes, restaurants, bars and bakeries baked on site (5611, 56121, 1071)"
10,"<Point><coordinates>103.8528793,1.306143,0.0</coordinates></Point>",2014-07-14 12:15:34,1.306143,0.0,103.8528793,S2306213,,0,0,0,0.0,haokaishi520@gmail.com,19891,Yes,4,25 m2 - 50 m2,30,"Odd (Sidebar, Mod1)",It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From the manufacturer or exclusive distributor. 工厂或者专属供应商 (专卖一种品牌的产品),Once every two weeks. 每两个星期一次,"(Frozen food (e.g. Frozen meat, cake))",25x25x25cm,9:00AM to 11:00 AM,The other party. 出货的人决定。,No. 否,,,,,,,,,,,,,,,,,,,,,,,,,,,pk brothers emporiums,207384,Street/street houses,50 m2 - 100 m2,No,1000,,,0 (None),1 (Least),3 (Most),1 (Least),1 (Least),1 (Least),0 (None),0 (None),1 (Least),,,,,,,,,,,,,,,,,,,,,,,2100,Grocery store mainly selling several types of dry goods (consumer packaged goods) (471)
7,"<Point><coordinates>103.853967,1.3084788,0.0</coordinates></Point>",2014-07-14 13:12:23,1.3084788,0.0,103.853967,S8007360,,0,0,0,0.0,saraheleanormao@gmail.com,50001,Yes,15,There is no storage space.,10,,It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From a wholesaler (sell mix of different brands and products to meet niche needs of the store). 批发商 (批发多种不同品牌与货物的公司),Once a day. 一天一次,"(Fresh food (e.g. Vegetable, meat))",100x100x100m,5:00PM to 7:00 PM,The other party. 出货的人决定。,No. 否,,,,,,,,,,,,,,,,,,,,,,,,,,,muthiah restaurant pte,209110,Street/street houses,50 m2 - 100 m2,No,0600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"<Point><coordinates>103.8552826,1.3054705,145.85562096128956</coordinates></Point>",2014-07-14 16:15:06,1.3054705,145.85562096128956,103.8552826,S4072284,,0,0,0,0.0,kimcuong030992@gmail.com,00000,,3,There is no storage space.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"<Point><coordinates>103.8549323,1.3098454,0.0</coordinates></Point>",2014-07-14 16:17:33,1.3098454,0.0,103.8549323,S7904372,,0,0,0,0.0,saraheleanormao@gmail.com,50003,Yes,29,There is no storage space.,"1 (Sidebar, Mod1)","Pharmacy (Sidebar, Mod1)",It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From our corporate warehouse/ office. 我们公司自己的货仓,Multiple times a day. 一天几次,(Medicinal and pharmaceutical products),More than two 200x100x100m box,5:00PM to 7:00 PM,"The store, the goods are delivered at a time we specified. 我们有指定送货时间。",Not in the ERP affected zone. 不在ERP区内,,,,,,,,,,,,,,,,,,,,,,,,,,,mustafa pharmacy,207704,Indoor/underground mall,200 m2 – 500 m2,Yes,0000,,,0 (None),0 (None),0 (None),0 (None),0 (None),3 (Most),0 (None),,,,,,,,,,,,,,,,,,,,,,,,,2400,Pharmacies and drug stores. May sell other personal products (47722/3)
1,"<Point><coordinates>103.8556245,1.3062031,0.0</coordinates></Point>",2014-07-14 16:40:10,1.3062031,0.0,103.8556245,S2457576,,0,0,0,,yinjin26@gmail.com,10360,Yes,1,There is no storage space.,"1 (Sidebar, Mod1)",,It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From the manufacturer or exclusive distributor. 工厂或者专属供应商 (专卖一种品牌的产品),Once a day. 一天一次,"(Fresh food (e.g. Vegetable, meat))",50x50x50cm,Before 7:00 AM,"The store, the goods are delivered at a time we specified. 我们有指定送货时间。",Not in the ERP affected zone. 不在ERP区内,,,,,,,,,,,,,,,,,,,,,,,,,,,hainanese chicken rice balls,208804,Street/street houses,Less than 10 m2,No,0800,,,3 (Most),0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),,,,,,,,,,,,,,,,,,,,,,,1800,"Food court and hawkers (5614, 56122)"
17,"<Point><coordinates>103.8550691,1.3055424,0.0</coordinates></Point>",2014-07-14 17:13:07,1.3055424,0.0,103.8550691,S4634749,,0,0,0,0.0,hhhdasdl@gmail.com,99988,Yes,7,Less than 10 m2,7,"Odd (Sidebar, Mod1)",It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From a wholesaler (sell mix of different brands and products to meet niche needs of the store). 批发商 (批发多种不同品牌与货物的公司),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"<Point><coordinates>103.8531378,1.3053926,22.0</coordinates></Point>",2014-07-14 10:41:30,1.3053926,22.0,103.8531378,S1948089,T1986830,0,0,0,0.5197013854980469,saraheleanormao@gmail.com,23874,No,,There is no storage space.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"<Point><coordinates>103.8534773,1.3052339,0.0</coordinates></Point>",2014-07-14 10:51:43,1.3052339,0.0,103.8534773,S5222256,,0,0,0,,yinjin26@gmail.com,00,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"<Point><coordinates>103.8528764,1.3070258,43.0</coordinates></Point>",2014-07-14 12:42:38,1.3070258,43.0,103.8528764,S6612261,,0,0,0,0.0,saraheleanormao@gmail.com,24488,Yes,6,25 m2 - 50 m2,3,,It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From another store. 另一间店,Multiple days a week. 一个星期几次,"(Fresh food (e.g. Vegetable, meat))",100x100x100m,After 7:00PM,We negotiate the delivery time together. 我们有商量最适当的送货时间。,No. 否,,,,,,,,,,,,,,,,,,,,,,,,,,,chettinadu chinniah restaurant,209729,Street/street houses,25 m2 - 50 m2,No,6,,,3 (Most),0 (None),2 (Some),0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),,,,,,,,,,,,,,,,,,,,,,,22,"Cafes, restaurants, bars and bakeries baked on site (5611, 56121, 1071)"
120,"<Point><coordinates>103.8532656,1.3063297,0.0</coordinates></Point>",2014-07-14 11:11:50,1.3063297,0.0,103.8532656,S6384294,,0,0,0,0.0,hhhdasdl@gmail.com,99998,Yes,5,Less than 10 m2,20,"Odd (Sidebar, Mod1)",It was delivered from the source to us (includes their own company’s distribution center). 是别人送来的.,From a wholesaler (sell mix of different brands and products to meet niche needs of the store). 批发商 (批发多种不同品牌与货物的公司),Multiple days a week. 一个星期几次,"(Fresh food (e.g. Vegetable, meat))",One to two 200x100x100m boxes,9:00AM to 11:00 AM,"The store, the goods are delivered at a time we specified. 我们有指定送货时间。",Not in the ERP affected zone. 不在ERP区内,,,,,,,,,,,,,,,,,,,,,,,,,,,guru marketing pte ltd,209782,Street/street houses,25 m2 - 50 m2,No,1000,,,3 (Most),2 (Some),1 (Least),0 (None),0 (None),0 (None),0 (None),0 (None),0 (None),,,,,,,,,,,,,,,,,,,,,,,1000,Grocery store mainly selling several types of dry goods (consumer packaged goods) (471)
